date,open,close,volume
2017-09-13 01,4135.0,4110.97,1210417.7097586372
2017-09-13 02,4101.49,4034.86,4198789.138349899
2017-09-13 03,4026.0,3945.01,7790633.232754381
2017-09-13 04,3945.01,4004.4,4982865.180494298
2017-09-13 05,4009.99,3984.97,3957892.5076454002
2017-09-13 06,3983.0,4031.72,1097553.72543815
2017-09-13 07,4023.0,3935.93,6914360.74526304
2017-09-13 08,3935.86,3929.4,3939191.052893479
2017-09-13 09,3929.4,3938.58,4547638.995233705
2017-09-13 10,3938.57,3854.06,5513921.4547321
2017-09-13 11,3854.92,3822.0,5617319.6731918
2017-09-13 12,3822.0,3878.14,8045510.2650079
2017-09-13 13,3878.14,3836.79,5505768.322689999
2017-09-13 14,3836.79,3760.93,13104612.809068996
2017-09-13 15,3770.68,3819.67,8054473.4671744015
2017-09-13 16,3819.68,3944.5,5500248.794855971
2017-09-13 17,3944.5,3906.73,5241227.015240278
2017-09-13 18,3906.72,3894.72,4279596.3917857
2017-09-13 19,3891.1,3844.95,2992838.41512493
2017-09-13 20,3844.0,3886.37,2507163.316781951
2017-09-13 21,3894.99,3885.0,1841494.8481341
2017-09-13 22,3885.0,3934.61,3583445.358867322
2017-09-13 23,3928.39,3843.34,2795718.4685471603
2017-09-14 00,3851.0,3914.75,1441968.2768787101
2017-09-14 01,3914.92,3907.58,739524.1292148097
2017-09-14 02,3905.27,3880.51,1531389.0518026105
2017-09-14 03,3877.58,3796.43,2989901.199395441
2017-09-14 04,3796.43,3810.01,3092701.6545807603
2017-09-14 05,3810.0,3800.0,3777520.6411400107
2017-09-14 06,3800.0,3831.47,1948690.1156232005
2017-09-14 07,3837.98,3868.47,2674278.4754725993
2017-09-14 08,3868.38,3814.78,3577617.6200197004
2017-09-14 09,3814.78,3762.08,4298512.8671248
2017-09-14 10,3770.0,3749.0,10646619.7021022
2017-09-14 11,3742.28,3615.96,15285751.807077698
2017-09-14 12,3615.97,3475.5,12649649.132140003
2017-09-14 13,3475.23,3563.63,11191303.949389098
2017-09-14 14,3558.27,3583.03,8874538.213234203
2017-09-14 15,3584.44,3525.0,6019651.733835781
2017-09-14 16,3527.61,3449.37,3286332.494167699
2017-09-14 17,3453.05,3302.01,9594385.453902999
2017-09-14 18,3300.0,3425.0,9576899.367874
2017-09-14 19,3430.3,3344.08,6677154.319548703
2017-09-14 20,3344.08,3386.0,5427010.737088899
2017-09-14 21,3386.03,3295.84,6692637.460674429
2017-09-14 22,3295.87,3303.02,5235977.680998801
2017-09-14 23,3300.43,3231.7,8846010.9367039
2017-09-15 00,3231.7,3345.65,6383877.8926306
2017-09-15 01,3344.0,3409.94,5328798.9120214
2017-09-15 02,3409.85,3380.0,3867633.8713283497
2017-09-15 03,3381.4,3366.04,2933639.2679709345
2017-09-15 04,3366.0,3314.61,3148386.864006745
2017-09-15 05,3314.77,3318.54,4038180.75857295
2017-09-15 06,3336.66,3119.96,10321777.718100041
2017-09-15 07,3122.67,3101.0,8909811.879587
2017-09-15 08,3100.09,3140.0,8883845.746532999
2017-09-15 09,3140.0,3046.01,9042364.982865797
2017-09-15 10,3046.0,3043.98,9941060.590231003
2017-09-15 11,3046.1,3016.09,9681412.87224
2017-09-15 12,3016.12,3362.99,18692742.021430004
2017-09-15 13,3362.99,3415.22,14551609.023507
2017-09-15 14,3415.22,3622.42,17056340.580670998
2017-09-15 15,3620.26,3701.04,15053258.201352004
2017-09-15 16,3705.0,3595.91,12548114.459093003
2017-09-15 17,3595.92,3571.02,8881988.747757997
2017-09-15 18,3571.02,3618.45,5369797.776573802
2017-09-15 19,3620.0,3680.0,8730977.284833997
2017-09-15 20,3676.7,3716.28,6621200.542842597
2017-09-15 21,3716.28,3809.84,6156938.572051901
2017-09-15 22,3810.0,3752.13,2901478.0586033002
2017-09-15 23,3752.01,3688.82,4112371.8223853214
2017-09-16 00,3696.28,3750.0,2312487.403840208
2017-09-16 01,3750.0,3769.68,1589796.4930550822
2017-09-16 02,3769.68,3760.32,3063977.9348094286
2017-09-16 03,3760.36,3759.5,998693.5174214541
2017-09-16 04,3772.15,3780.0,1400814.9542918457
2017-09-16 05,3780.0,3833.96,3930776.6800704203
2017-09-16 06,3833.96,3787.63,3395697.5100524905
2017-09-16 07,3787.97,3820.65,2987999.0085124904
2017-09-16 08,3820.67,3840.2,2045280.1692724966
2017-09-16 09,3840.19,3672.0,8544411.68429505
2017-09-16 10,3673.0,3573.88,12497386.710635303
2017-09-16 11,3579.27,3655.2,6262499.0217007715
2017-09-16 12,3644.83,3558.0,4867356.388145769
2017-09-16 13,3558.0,3622.0,5608797.287573132
2017-09-16 14,3622.0,3590.0,2016998.0904626944
2017-09-16 15,3610.02,3550.0,5030934.23942499
2017-09-16 16,3550.0,3607.75,5352369.424523319
2017-09-16 17,3609.4,3625.32,2235611.76778832
2017-09-16 18,3625.32,3697.0,3513721.661343699
2017-09-16 19,3696.77,3674.86,1941176.4193372498
2017-09-16 20,3673.07,3660.12,825154.4804619738
2017-09-16 21,3659.55,3682.58,1409670.7600328645
2017-09-16 22,3690.0,3700.94,1980663.777907767
2017-09-16 23,3703.6,3666.01,1304536.5989394097
2017-09-17 00,3666.01,3640.0,1716422.3202680906
2017-09-17 01,3640.0,3623.45,2488744.53562031
2017-09-17 02,3623.45,3650.1,1344677.8821518398
2017-09-17 03,3650.09,3617.46,860466.1329308625
2017-09-17 04,3617.48,3606.06,1025255.4320804102
2017-09-17 05,3606.02,3565.37,369847.22182517604
2017-09-17 06,3571.0,3550.0,2131637.380785403
2017-09-17 07,3550.0,3503.23,2677180.3564610505
2017-09-17 08,3510.0,3526.96,3619660.9920909517
2017-09-17 09,3526.96,3617.2,2311686.6057347395
2017-09-17 10,3617.2,3564.01,1396410.24911267
2017-09-17 11,3564.0,3564.37,1570025.55834099
2017-09-17 12,3564.14,3583.0,641241.086380171
2017-09-17 13,3583.0,3659.99,2792764.3422994316
2017-09-17 14,3656.02,3643.16,3069893.19198663
2017-09-17 15,3643.16,3664.96,1828029.5423861202
2017-09-17 16,3665.98,3715.34,2978559.38978584
2017-09-17 17,3706.31,3759.99,2066069.1489217298
2017-09-17 18,3759.99,3712.89,1738088.32665422
2017-09-17 19,3712.76,3704.03,1223554.4339767317
2017-09-17 20,3704.58,3699.65,1452769.8746648578
2017-09-17 21,3696.07,3695.7,1102810.7348426566
2017-09-17 22,3696.25,3699.54,548205.4346860818
